Date,vitamin,1/4 MED,1 MED
2020-05-12,20,16,56
2020-05-13,20,16,53
2020-05-18,17,14,50
2020-05-29,23,17,61
2020-06-08,32,25,81
2020-06-09,35,26,86
2020-06-10,34,26,83
2020-06-13,35,26,86
2020-06-14,35,26,89
2020-06-25,40,27,91
2020-06-27,35,26,83
2020-06-28,35,26,87
2020-07-03,32,25,80
2020-07-05,38,29,92
2020-07-14,32,25,80
2020-07-17,29,23,76
2020-07-26,23,20,65
2020-07-28,32,25,83
2020-07-29,32,25,80
2020-07-30,29,23,79
2020-07-31,35,29,92
2020-08-02,26,21,71
2020-08-10,23,19,64
2020-08-11,26,20,66
2020-08-12,29,23,74
2020-08-13,29,21,74
2020-08-15,26,20,68
2020-08-16,31,23,77
2020-08-17,29,21,74
2020-08-18,27,21,74
2020-08-20,25,20,68
2020-08-21,19,16,53
2020-08-22,23,19,65
2020-08-23,17,14,50
2020-08-30,14,12,44
2020-09-05,20,16,56
2020-09-07,20,17,57
2020-09-10,12,11,40
2020-09-14,14,11,41
2020-09-18,12,11,38
2020-09-19,11,10,36
2020-09-20,12,11,38
2020-09-21,11,10,36
2020-09-23,14,11,42
2020-09-28,8,8,29
2020-09-29,8,8,29
2020-09-30,11,10,35
